State,HCE
United States,"$7,292 "
Alabama,"$6,541 "
Alaska,"$9,586 "
Arizona,"$6,076 "
Arkansas,"$6,585 "
California,"$6,737 "
Colorado,"$6,129 "
Connecticut,"$8,950 "
Delaware,"$9,213 "
District of Columbia,"$11,281 "
Florida,"$7,408 "
Georgia,"$5,713 "
Hawaii,"$6,527 "
Idaho,"$6,135 "
Illinois,"$7,429 "
Indiana,"$7,286 "
Iowa,"$7,416 "
Kansas,"$7,152 "
Kentucky,"$7,142 "
Louisiana,"$7,161 "
Maine,"$8,824 "
Maryland,"$7,937 "
Massachusetts,"$9,818 "
Michigan,"$7,406 "
Minnesota,"$7,968 "
Mississippi,"$6,833 "
Missouri,"$7,441 "
Montana,"$7,301 "
Nebraska,"$7,715 "
Nevada,"$5,959 "
New Hampshire,"$8,766 "
New Jersey,"$7,947 "
New Mexico,"$6,567 "
New York,"$9,016 "
North Carolina,"$6,808 "
North Dakota,"$8,758 "
Ohio,"$7,652 "
Oklahoma,"$6,921 "
Oregon,"$6,971 "
Pennsylvania,"$8,432 "
Rhode Island,"$8,782 "
South Carolina,"$6,707 "
South Dakota,"$8,065 "
Tennessee,"$6,742 "
Texas,"$6,328 "
Utah,"$5,341 "
Vermont,"$8,874 "
Virginia,"$6,877 "
Washington,"$7,119 "
West Virginia,"$8,268 "
Wisconsin,"$7,971 "
Wyoming,"$7,554 "
