State,Household_Income
United States,"56,006"
Alabama,"47,654"
Alaska,"64,260"
Arizona,"54,403"
Arkansas,"46,213"
California,"59,713"
Colorado,"65,601"
Connecticut,"73,194"
Delaware,"61,160"
D.C.,"61,821"
Florida,"50,468"
Georgia,"51,440"
Hawaii,"66,068"
Idaho,"53,102"
Illinois,"56,658"
Indiana,"49,730"
Iowa,"56,191"
Kansas,"51,634"
Kentucky,"44,595"
Louisiana,"45,493"
Maine,"55,602"
Maryland,"77,066"
Massachusetts,"70,842"
Michigan,"54,691"
Minnesota,"64,695"
Mississippi,"45,976"
Missouri,"51,217"
Montana,"45,066"
Nebraska,"62,229"
Nevada,"52,637"
New Hampshire,"73,714"
New Jersey,"69,751"
New Mexico,"46,974"
New York,"56,657"
North Carolina,"50,581"
North Dakota,"63,063"
Ohio,"49,957"
Oklahoma,"54,217"
Oregon,"57,653"
Pennsylvania,"55,845"
Rhode Island,"54,864"
South Carolina,"44,850"
South Dakota,"52,838"
Tennessee,"47,306"
Texas,"54,879"
Utah,"62,092"
Vermont,"58,029"
Virginia,"70,062"
Washington,"63,610"
West Virginia,"46,794"
Wisconsin,"58,248"
Wyoming,"60,991"
