State,Household_Income,,,,,
United States,"62,868",,,,,
Alabama,"52,359",,,,,
Alaska,"73,992",,,,,
Arizona,"62,615",,,,,
Arkansas,"50,019",,,,,
California,"71,459",,,,,
Colorado,"75,980",,,,,
Connecticut,"74,554",,,,,
Delaware,"63,837",,,,,
D.C.,"85,415",,,,,
Florida,"54,990",,,,,
Georgia,"58,406",,,,,
Hawaii,"75,369",,,,,
Idaho,"61,676",,,,,
Illinois,"66,184",,,,,
Indiana,"60,308",,,,,
Iowa,"65,028",,,,,
Kansas,"59,283",,,,,
Kentucky,"52,600",,,,,
Louisiana,"44,973",,,,,
Maine,"52,923",,,,,
Maryland,"83,061",,,,,
Massachusetts,"75,012",,,,,
Michigan,"59,107",,,,,
Minnesota,"73,673",,,,,
Mississippi,"44,500",,,,,
Missouri,"58,272",,,,,
Montana,"60,527",,,,,
Nebraska,"61,072",,,,,
Nevada,"57,929",,,,,
New Hampshire,"76,624",,,,,
New Jersey,"74,776",,,,,
New Mexico,"49,022",,,,,
New York,"63,969",,,,,
North Carolina,"51,570",,,,,
North Dakota,"61,346",,,,,
Ohio,"61,225",,,,,
Oklahoma,"56,347",,,,,
Oregon,"66,185",,,,,
Pennsylvania,"64,713",,,,,
Rhode Island,"68,008",,,,,
South Carolina,"56,311",,,,,
South Dakota,"58,281",,,,,
Tennessee,"56,587",,,,,
Texas,"60,740",,,,,
Utah,"73,058",,,,,
Vermont,"65,360",,,,,
Virginia,"73,031",,,,,
Washington,"77,256",,,,,
West Virginia,"46,499",,,,,
Wisconsin,"64,998",,,,,
Wyoming,"59,247",,,,,
