State,IMR
United States,6.07
Alabama,8.22
Alaska,3.84
Arizona,5.97
Arkansas,7.28
California,4.79
Colorado,5.5
Connecticut,5.15
Delaware,8.88
District of Columbia,7.42
Florida,6.46
Georgia,6.86
Hawaii,5.28
Idaho,5.07
Illinois,6.56
Indiana,7.62
Iowa,4.74
Kansas,6.23
Kentucky,6.43
Louisiana,8.22
Maine,6.69
Maryland,6.81
Massachusetts,4.25
Michigan,6.54
Minnesota,4.75
Mississippi,9.23
Missouri,6.33
Montana,5.97
Nebraska,5.6
Nevada,5.69
New Hampshire,4.51
New Jersey,5.08
New Mexico,5.57
New York,5.12
North Carolina,7.2
North Dakota,6.51
Ohio,7.99
Oklahoma,7.27
Oregon,4.56
Pennsylvania,6.49
Rhode Island,6.39
South Carolina,7.32
South Dakota,6.08
Tennessee,7.44
Texas,5.66
Utah,5.49
Vermont,4.94
Virginia,6.79
Washington,4.55
West Virginia,6.56
Wisconsin,6.24
Wyoming,6.62
