"","State","Employer.Only","Medicaid.Only","Uninsured","HCE","Household_Income","IMR","ObesityRate","White","Black","Hispanic","Asian","Two.Or.More.Races","SmokingRate","emi_pc","pi_pc","Year","ID","dixieSouth","southeast"
"2","Alabama",0.47,0.13,0.14,"$6,541 ","47,654",8.22,32,0.67,"0.26",0.04,"0.01","0.01",24.3,27.1,34997,"2011",1,1,1
"3","Alaska",0.49,0.11,0.2,"$9,586 ","64,260",3.84,27.4,0.63,"0.03",0.06,"0.06","0.08",22.9,53.7,52390,"2011",2,0,0
"4","Arizona",0.42,0.16,0.17,"$6,076 ","54,403",5.97,25.1,0.57,"0.04",0.3,"0.03","0.02",19.3,14.4,34968,"2011",3,0,0
"5","Arkansas",0.42,0.15,0.17,"$6,585 ","46,213",7.28,30.9,0.75,"0.15",0.07,"0.01","0.02",27,22.9,33863,"2011",4,1,1
"6","California",0.46,0.15,0.18,"$6,737 ","59,713",4.79,23.8,0.4,"0.06",0.38,"0.13","0.03",13.7,9.3,46170,"2011",5,0,0
"7","Colorado",0.51,0.1,0.15,"$6,129 ","65,601",5.5,20.7,0.7,"0.04",0.21,"0.03","0.02",18.3,17.9,43570,"2011",6,0,0
"8","Connecticut",0.57,0.12,0.09,"$8,950 ","73,194",5.15,24.5,0.71,"0.09",0.14,"0.04","0.02",17.1,9.7,63804,"2011",7,0,0
"9","Delaware",0.53,0.15,0.09,"$9,213 ","61,160",8.88,28.8,0.65,"0.21",0.08,"0.03","0.02",21.8,13.5,43894,"2011",8,0,0
"10","District of Columbia",0.53,0.2,0.08,"$11,281 ","61,821",7.42,23.7,0.34,"0.5",0.1,"0.03","0.02",20.8,5,67441,"2011",9,0,0
"11","Florida",0.4,0.12,0.21,"$7,408 ","50,468",6.46,26.6,0.57,"0.15",0.23,"0.02","0.02",19.3,12,40047,"2011",10,1,1
"12","Georgia",0.47,0.12,0.2,"$5,713 ","51,440",6.86,28,0.56,"0.3",0.09,"0.03","0.02",21.2,15.9,36580,"2011",11,1,1
"13","Hawaii",0.56,0.1,0.07,"$6,527 ","66,068",5.28,21.8,0.22,"0.01",0.09,"0.38","0.2",16.8,14.1,43534,"2011",12,0,0
"14","Idaho",0.48,0.1,0.16,"$6,135 ","53,102",5.07,27,0.84,"0.01",0.11,"0.01","0.02",17.2,10,33515,"2011",13,0,0
"15","Illinois",0.53,0.14,0.13,"$7,429 ","56,658",6.56,27.1,0.63,"0.14",0.16,"0.05","0.02",20.9,17.8,44140,"2011",14,0,0
"16","Indiana",0.53,0.12,0.15,"$7,286 ","49,730",7.62,30.8,0.81,"0.09",0.06,"0.02","0.02",25.6,32.1,37653,"2011",15,0,0
"17","Iowa",0.56,0.1,0.09,"$7,416 ","56,191",4.74,29,0.89,"0.03",0.05,"0.02","0.02",20.4,27.9,40952,"2011",16,0,0
"18","Kansas",0.54,0.09,0.13,"$7,152 ","51,634",6.23,29.6,0.78,"0.05",0.11,"0.02","0.03",22,24.5,42719,"2011",17,0,0
"19","Kentucky",0.47,0.14,0.15,"$7,142 ","44,595",6.43,30.4,0.86,"0.08",0.03,"0.01","0.02",29,33.9,34626,"2011",18,1,1
"20","Louisiana",0.43,0.16,0.18,"$7,161 ","45,493",8.22,33.4,0.6,"0.32",0.04,"0.02","0.01",25.7,49,38710,"2011",19,1,1
"21","Maine",0.48,0.15,0.11,"$8,824 ","55,602",6.69,27.8,0.94,"0.01",0.01,"0.01","0.02",22.8,13.2,39472,"2011",20,0,0
"22","Maryland",0.58,0.11,0.1,"$7,937 ","77,066",6.81,28.3,0.54,"0.29",0.08,"0.06","0.02",19.1,11,52437,"2011",21,0,0
"23","Massachusetts",0.58,0.15,0.04,"$9,818 ","70,842",4.25,22.7,0.76,"0.06",0.1,"0.06","0.02",18.2,10.3,55305,"2011",22,0,0
"24","Michigan",0.5,0.14,0.12,"$7,406 ","54,691",6.54,31.3,0.77,"0.14",0.05,"0.02","0.02",23.3,16.2,37512,"2011",23,0,0
"25","Minnesota",0.58,0.11,0.09,"$7,968 ","64,695",4.75,25.7,0.83,"0.05",0.05,"0.04","0.02",19.1,17.1,45353,"2011",24,0,0
"26","Mississippi",0.41,0.17,0.18,"$6,833 ","45,976",9.23,34.9,0.58,"0.37",0.03,"0.01","0.01",26,20.3,32163,"2011",25,1,1
