State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,29832,31362,32598,33353,32608,33752,34997,35884,36107,37266,38644,39224,40467,42238
Alaska,38919,41058,43861,47749,47069,49438,52390,53627,52723,55833,57583,56016,56794,59420
Arizona,32220,34686,35789,35563,33418,33635,34968,36123,36602,38226,39676,40671,42505,44329
Arkansas,28047,29438,31070,31940,31153,31927,33863,36240,36235,38260,39343,40148,41520,43233
California,39279,42088,43629,43890,42044,43634,46170,48798,49277,52324,55758,57739,60156,63557
Colorado,37841,40140,42024,42689,39982,40682,43570,45659,47298,50700,52133,52262,55335,58456
Connecticut,50035,53945,57861,61165,59973,62089,63804,64917,63554,66485,68288,69741,72213,76456
Delaware,39405,41041,41687,40722,40690,40825,43894,44077,44335,45988,47961,48505,50350,52507
District of Columbia,53186,56075,60028,61117,60448,63597,67441,68418,67939,71334,75439,77475,78969,82005
Florida,36011,38448,39602,39247,36611,38474,40047,41055,40659,43109,45287,45684,47869,50070
Georgia,33331,34687,35523,35175,34042,34522,36580,37254,37549,39795,41681,42693,44536,46482
Hawaii,36594,38711,40605,42080,41352,41921,43534,44774,44955,47246,49480,51032,53145,55418
Idaho,29297,31431,32638,32722,31186,31957,33515,35188,36200,37896,39857,40670,42094,43901
Illinois,37793,40214,42381,43267,41042,42092,44140,46044,47113,49444,51519,52273,53943,56839
Indiana,31487,33071,33986,35228,34102,35454,37653,39334,39648,41099,42627,43741,45225,47149
Iowa,32574,34392,36640,38537,37136,38104,40952,42906,43472,44799,46224,46431,47458,50124
Kansas,32312,35447,37811,40791,39088,39562,42719,45118,45958,46874,47386,47510,48869,51471
Kentucky,29110,30543,31615,32757,32157,33141,34626,35753,35919,37584,39093,39638,40999,42458
Louisiana,29699,33385,35966,37891,36457,37649,38710,40556,40911,42684,43034,42726,43938,46242
Maine,32946,34514,35686,37054,37055,37910,39472,40288,40165,41818,43619,44839,46570,48905
Maryland,43841,45932,47586,49428,48755,50007,52437,53546,53052,54687,57139,59029,60512,63354
Massachusetts,44609,47974,50238,51916,50942,53061,55305,57332,57372,59954,63583,65473,68233,71683
Michigan,32877,33729,34792,35700,34030,35391,37512,39059,39361,41147,43533,44868,46258,48423
Minnesota,38111,39754,41720,43104,41015,42606,45353,47860,47941,50254,52315,53209,54919,57515
Mississippi,26703,27840,29368,30479,29855,30902,32163,33309,33852,34545,35022,35613,36375,37834
Missouri,32387,34024,35397,37054,36182,36823,38343,40133,40324,41775,43096,44336,45744,47746
Montana,29785,31912,33914,35253,34260,35895,38184,40320,40176,41900,43504,43721,45312,47538
Nebraska,34510,35869,38390,40225,39264,40920,45429,46562,46592,48948,50588,49703,50663,53263
Nevada,38103,39793,40201,38734,36078,37227,38550,39651,39271,41484,44065,44967,46914,49176
New Hampshire,40723,43248,44670,45694,44892,46784,48938,51005,50754,52673,54788,56480,58397,61294
New Jersey,44775,48015,50723,52005,50149,51419,53696,55583,56045,58655,61110,62701,64924,68236
New Mexico,28898,30552,31867,33443,32729,33542,35003,35725,35079,37182,38261,38825,39521,41609
New York,40905,44179,47520,48328,47277,48972,51498,53982,54491,56743,59141,61226,65644,68668
North Carolina,32283,34324,36138,37687,35802,35682,36767,38970,38200,40064,41851,42651,44180,46117
North Dakota,31546,32893,36283,40384,39643,43492,47994,55426,53824,56316,53845,52525,52669,55452
Ohio,32577,34156,35520,36596,35532,36575,39071,40634,41098,42754,44340,45040,46651,48739
Oklahoma,31312,34355,35182,38568,35338,36544,39043,41469,43097,45540,44245,41871,43634,46233
Oregon,32496,34909,36003,37067,35481,36122,37821,39601,40015,42483,45182,46498,48372,50843
Pennsylvania,36301,38032,40219,41512,40390,42047,44210,46019,46411,48431,50378,51614,53144,56225
Rhode Island,37220,39236,41042,41755,40766,42945,44675,46283,46225,48165,50053,50541,52379,54850
South Carolina,29171,30892,32264,32962,31727,32458,34077,35572,35731,37622,39496,40404,42081,43702
South Dakota,33672,35177,38661,40909,39395,41163,44618,45183,45245,46959,48655,48627,49554,52216
Tennessee,31370,32897,33998,34830,34260,35653,37627,39312,39427,40801,42593,43726,44950,46900
Texas,32745,35144,36646,39271,36711,38274,41244,43397,43781,46289,46577,45616,47929,50355
Utah,28832,31306,33123,33857,31833,32156,34200,36139,36725,38517,40867,42375,44002,46320
Vermont,34975,37099,39006,40904,40275,41444,43790,45356,45941,47802,49582,50796,51976,54173
Virginia,40259,42494,44272,45437,44122,45496,47775,49585,48855,50754,52892,53605,55306,57799
Washington,37688,40359,43130,44558,41958,42676,44709,47768,48304,51518,53840,55884,58550,62026
West Virginia,26839,28554,29513,31258,31361,32320,34131,35118,34946,36153,36915,36931,38644,40873
Wisconsin,34434,36332,37778,38910,38070,38997,41178,43034,43184,44939,46681,47550,49290,51592
Wyoming,38240,43567,45363,48593,43738,45714,49992,53527,52892,56708,57101,54610,56377,60361
