"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2067954","2012","US","All States, DC and Territories (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.6","","","","","53","Overall","Overall","_RFSMOK3","1","1","","","","","",""
"2067955","2012","US","All States, DC and Territories (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.4","","","","","53","Overall","Overall","_RFSMOK3","1","1","","","","","",""
"2067663","2012","UW","All States and DC (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.6","","","","","51","Overall","Overall","_RFSMOK3","2","2","","","","","",""
"2067664","2012","UW","All States and DC (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.4","","","","","51","Overall","Overall","_RFSMOK3","2","2","","","","","",""
"1921176","2012","AL","Alabama","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","23.8","","","22.3","25.2","1643","Overall","Overall","_RFSMOK3","3","3","","","","","",""
"1921177","2012","AL","Alabama","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","76.2","","","74.8","77.7","7270","Overall","Overall","_RFSMOK3","3","3","","","","","",""
"1923665","2012","AK","Alaska","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","20.5","","","18.8","22.3","842","Overall","Overall","_RFSMOK3","4","4","","","","","",""
"1923666","2012","AK","Alaska","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","79.5","","","77.8","81.2","3425","Overall","Overall","_RFSMOK3","4","4","","","","","",""
"1927067","2012","AZ","Arizona","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.1","","","15.6","18.5","1091","Overall","Overall","_RFSMOK3","5","5","","","","","",""
"1927068","2012","AZ","Arizona","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.9","","","81.5","84.4","6049","Overall","Overall","_RFSMOK3","5","5","","","","","",""
