State	emission11	emission12	emission13	emission14
Alabama	27.1	25.6	25.0	25.4
Alaska	53.7	52.3	49.1	48.0
Arizona	14.4	14.0	14.4	13.9
Arkansas	22.9	22.4	23.1	23.3
California	9.3	9.3	9.3	9.1
Colorado	17.9	17.5	17.3	17.2
Connecticut	9.7	9.5	9.7	9.8
Delaware	13.5	14.6	14.2	13.6
District of Columbia	5.0	4.2	4.3	4.6
Florida	12.0	11.5	11.3	11.4
Georgia	15.9	13.7	13.5	13.8
Hawaii	14.1	13.6	13.1	12.9
Idaho	10.0	9.8	10.7	10.2
Illinois	17.8	16.8	17.8	18.0
Indiana	32.1	29.7	30.4	31.1
Iowa	27.9	25.8	26.2	26.3
Kansas	24.5	22.7	24.0	24.0
Kentucky	33.9	31.2	31.0	31.2
Louisiana	49.0	46.0	44.0	43.3
Maine	13.2	11.9	12.5	12.5
Maryland	11.0	10.2	10.0	10.3
Massachusetts	10.3	9.3	9.8	9.4
Michigan	16.2	15.5	16.3	16.3
Minnesota	17.1	16.1	16.5	17.4
Mississippi	20.3	20.9	20.3	21.4
Missouri	22.3	21.0	21.9	21.7
Montana	31.5	30.0	31.1	31.3
Nebraska	28.4	27.2	28.6	27.7
Nevada	12.5	12.5	13.1	13.1
New Hampshire	12.3	11.0	10.8	11.3
New Jersey	12.9	11.7	12.0	12.7
New Mexico	26.7	25.6	25.4	24.0
New York	8.4	8.2	8.2	8.6
North Carolina	13.3	12.4	12.7	12.8
North Dakota	78.2	79.8	78.3	79.3
Ohio	20.4	18.6	19.8	20.0
Oklahoma	28.3	27.4	26.8	27.0
Oregon	9.6	9.5	10.0	9.6
Pennsylvania	19.4	18.5	19.3	19.2
Rhode Island	10.5	10.0	9.6	10.1
South Carolina	17.0	15.5	14.7	15.4
South Dakota	17.8	18.0	18.3	18.2
Tennessee	16.6	15.4	15.1	15.8
Texas	23.2	22.6	23.4	22.9
Utah	22.8	21.5	23.0	22.2
Vermont	9.3	8.7	9.2	9.4
Virginia	12.3	11.9	12.7	12.5
Washington	10.1	9.9	10.5	10.2
West Virginia	52.7	49.6	50.9	54.1
Wisconsin	17.1	15.8	17.6	17.6
Wyoming	112.4	114.6	117.2	112.0
